speed,power,final_volume,depo_rate_mean,depo_rate_std,final_max_stress
2.01,520.45,63.83838383838384,10.0,1.0,300.0
1.98,523.56,65.15151515151516,10.0,1.0,300.0
1.96,526.66,66.46464646464646,10.0,1.0,300.0
1.94,529.74,67.77777777777777,10.0,1.0,300.0
1.91,532.82,69.0909090909091,10.0,1.0,300.0
1.89,535.88,70.4040404040404,10.0,1.0,300.0
1.86,538.93,71.71717171717171,10.0,1.0,300.0
1.84,541.97,73.03030303030303,10.0,1.0,300.0
1.81,545.0,74.34343434343434,10.0,1.0,300.0
1.79,548.02,75.65656565656566,10.0,1.0,300.0
1.77,551.02,76.96969696969697,10.0,1.0,300.0
1.74,554.01,78.28282828282829,10.0,1.0,300.0
1.72,556.99,79.5959595959596,10.0,1.0,300.0
1.69,559.95,80.9090909090909,10.0,1.0,300.0
1.67,562.91,82.22222222222223,10.0,1.0,300.0
1.65,565.85,83.53535353535354,10.0,1.0,300.0
1.62,568.77,84.84848484848484,10.0,1.0,300.0
1.6,571.69,86.16161616161617,10.0,1.0,300.0
1.57,574.59,87.47474747474747,10.0,1.0,300.0
1.55,577.48,88.78787878787878,10.0,1.0,300.0
1.53,580.35,90.1010101010101,10.0,1.0,300.0
1.5,583.22,91.41414141414141,10.0,1.0,300.0
1.48,586.05,92.72727272727273,10.0,1.0,300.0
1.46,588.87,94.04040404040404,10.0,1.0,300.0
1.43,591.66,95.35353535353535,10.0,1.0,300.0
1.41,594.45,96.66666666666667,10.0,1.0,300.0
1.39,597.22,97.97979797979798,10.0,1.0,300.0
1.36,599.98,99.2929292929293,10.0,1.0,300.0
1.34,602.72,100.60606060606061,10.0,1.0,300.0
1.32,605.45,101.91919191919192,10.0,1.0,300.0
1.29,608.16,103.23232323232324,10.0,1.0,300.0
1.27,610.87,104.54545454545455,10.0,1.0,300.0
1.25,613.56,105.85858585858585,10.0,1.0,300.0
1.22,616.23,107.17171717171718,10.0,1.0,300.0
1.2,618.89,108.48484848484848,10.0,1.0,300.0
1.18,621.54,109.79797979797979,10.0,1.0,300.0
1.16,624.17,111.11111111111111,10.0,1.0,300.0
1.13,626.79,112.42424242424242,10.0,1.0,300.0
1.11,629.4,113.73737373737374,10.0,1.0,300.0
1.09,631.99,115.05050505050505,10.0,1.0,300.0
1.07,634.57,116.36363636363636,10.0,1.0,300.0
1.04,637.13,117.67676767676768,10.0,1.0,300.0
1.02,639.68,118.98989898989899,10.0,1.0,300.0
1.0,642.21,120.30303030303031,10.0,1.0,300.0
0.98,644.74,121.61616161616162,10.0,1.0,300.0
0.96,647.24,122.92929292929293,10.0,1.0,300.0
0.93,649.74,124.24242424242425,10.0,1.0,300.0
0.91,652.21,125.55555555555556,10.0,1.0,300.0
0.89,654.68,126.86868686868686,10.0,1.0,300.0
0.87,657.13,128.1818181818182,10.0,1.0,300.0
0.85,659.57,129.49494949494948,10.0,1.0,300.0
0.83,661.99,130.8080808080808,10.0,1.0,300.0
0.8,664.4,132.12121212121212,10.0,1.0,300.0
0.78,666.79,133.43434343434342,10.0,1.0,300.0
0.76,669.17,134.74747474747477,10.0,1.0,300.0
0.74,671.54,136.06060606060606,10.0,1.0,300.0
0.72,673.89,137.37373737373736,10.0,1.0,300.0
0.7,676.24,138.68686868686868,10.0,1.0,300.0
0.68,678.58,140.0,10.0,1.0,300.0
