power,speed,r,dt
0.25,0.004233333,0.27,7
0.25,0.00635,0.27,4.5
0.25,0.008466667,0.27,3.5
0.25,0.010583333,0.27,2.8
0.3,0.00635,0.3,4.5
0.3,0.008466667,0.3,3.5
0.3,0.010583333,0.3,2.8
0.3,0.0127,0.3,2.4
0.35,0.008466667,0.33,3.5
0.35,0.010583333,0.33,2.8
0.35,0.0127,0.33,2.4
0.35,0.014816667,0.33,2
0.4, 0.010583333, 0.367, 2.8
0.4, 0.0127, 0.367, 2.4
0.4, 0.014816667, 0.367, 2
0.4, 0.016933333, 0.367, 1.7
